fund
Aclima
Clean Energy Ventures
Envisioning Partners
Generate Capital
Indico Blue Fund
SOSV
Urban Innovation Fund
Waterfund
Congruent Ventures
1955 Capital
Activate Capital Partners
AltEnergy
Amasia
Amazon Cleantech Fund
Arbor View Capital
ArcTern Ventures
ARENA Investments
Blue Bear Capital
Braemer Energy Ventures
Breakthrough Energy Ventures
Capricorn Technology Impact Fund
Center Electric
Chevron Future Energy Fund
Chrysalix Venture Capital
Clean Energy Trust
Clean Energy Venture Group
Clean Energy Ventures
CleanTech Open
ClearSky
Congruent Ventures
Consensys
Constellation Technology Ventures
CREO Syndicate
Cyclotron Road
DCVC
Deep Science Ventures
DeltaClimeVT
E8 Angels
EEnotech
Ecosystem Integrity Fund
Element Partners
Emerald Ventures
Energy Access Ventures
Energize Ventures
Energy Foundry
Energy Impact Partners
Energy Innovation Capital
Enertech Capital
Equinor Ventures
FactorE
Fifth Wall
Firelake Capital (shutdown)
Foundation Capital
FreeElectrons
FutureShape
G2VP
Generate Captial
Green Chamber of the South
Greentown Labs
HG Ventures
Huck Captial
Invenergy Future Fund
Khosla Ventures
Lowercarbon Capital
Lux Capital
National Grid
NGP Capital
Nth Power
Obvious Ventures
Pangea Ventures
Pegasus Capital Advisors
Piva
PowerHouse
Prelude Ventures
Renewal Funds
Renew Venture Captial
Rise
Rockport Capital
Sanara Ventures
Shell New Energies
SOSV
Spring Lane Capital
Black an Decker Ventures
Statkraft Ventures
Surge Ventures
Sustain VC
Techstars Energy
The Engine
Third Derivative
Total Energy Ventures
True North Ventures
Truffle Capital
VertueLab
Volta Energy Technologies
VoLo Earth
Westley Group
WIND Ventures
WTI Western Tech Investment
Zoma Capital
Barclays’ Sustainable Impact Capital
New Energy Nexus

